"crawler_id","keyword","asset_id","account_id","keyword_id","start_url"
8,"Takat",73,8,121,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=takat&catalog=#Homesearch201403"
8,"Takat*",73,8,122,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=takat*&catalog=#Homesearch201403"
8,"Taka Racing",73,8,128,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=taka+racing&catalog=#Homesearch201403"
8,"Tow Strap",73,8,129,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=tow+strap&catalog=#Homesearch201403"
8,"Racing Belt",73,8,130,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=racing+belt&catalog=#Homesearch201403"
8,"Kata",73,8,131,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=kata&catalog=#Homesearch201403"
8,"TKT",73,8,132,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=tkt&catalog=#Homesearch201403"
8,"Pro Concealer",39,9,133,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=pro+concealer&catalog=#Homesearch201403"
8,"HD Concealer",39,9,136,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=hd+concealer&catalog=#Homesearch201403"
8,"High Definition Concealer",39,9,137,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=high+definition+concealer&catalog=#Homesearch201403"
8,"24-Color Concealer Liquid Foundation",39,9,138,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=24-color+concealer+liquid+foundation"
8,"LA Girl Pro HD",39,9,140,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=la+girl+pro+hd"
8,"LA Girl",74,9,141,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=la+girl&catalog=#Homesearch201403"
8,"Los Angeles Girl",74,9,142,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=los+angeles+girl"
8,"Matte Pigment Gloss",75,9,143,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=matte+pigment+gloss"
8,"Flat Finish Matte Pigment Gloss",75,9,144,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=flat+finish+matte+pigment+gloss"
8,"Flat Finish",75,9,145,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=flat+finish"
8,"Pro BB",76,9,146,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=pro+bb"
8,"Aurora Glow Kit",70,11,147,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=aurora+glow+kit"
8,"Facial Cleansing Pad",85,18,160,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=facial+cleansing+pad&catalog=#Homesearch201403"
8,"Microfiber Makeup Removal Towel",86,18,161,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=microfiber+rmakeup+removal+towel"
8,"Facial Cleaning Pad",86,18,163,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=facial+cleaning+pad"
8,"Makeup Removal Towel",86,18,164,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=makeup+removal+towel"
8,"Makeup Remover Towel",86,18,165,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=makeup+remover+towel"
8,"Makeup Remover Cloth",86,18,166,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=makeup+remover+cloth"
8,"Microfiber Cloth Remover",86,18,168,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=microfiber+cloth+remover"
8,"MCC Golf",96,20,184,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=mcc+golf"
8,"Club Grips",27,20,189,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=club+grips"
8,"Golf Grips",27,20,190,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=golf+grips"
8,"Golf Club Grips",27,20,191,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=golf+club+grips"
8,"AnnaCampbell",97,36,192,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=annacampbell"
8,"Campbell",97,36,193,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=campbell"
8,"Anna Dress",97,36,194,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=anna+dress"
8,"Anna Champbell",97,36,195,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=anna+champbell"
8,"Anna Campbel",97,36,196,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=anna+campbel"
8,"Anna Campell",97,36,197,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=anna+campell"
8,"Universal Golf Club Putter",27,20,198,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=universal+golf+club+putter"
8,"Witchcraft Eyeshadow",107,31,208,"http://www.dhgate.com/wholesale/search.do?searchkey=Witchcraft+Eyeshadow"
8,"Wizardry Eyeshadow",104,31,209,"http://www.dhgate.com/wholesale/search.do?searchkey=Wizardry+Eyeshadow"
8,"Harry Potter Eyeshadow",106,31,211,"http://www.dhgate.com/wholesale/search.do?searchkey=Harry+Potter+Eyeshadow"
8,"Super Stroke",109,33,213,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=super+stroke"
8,"Golf Grip",109,33,214,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=golf+grip"
8,"Club Grip",109,33,215,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=club+grip"
8,"Beverly Hills",35,11,216,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=beverly+hills"
8,"Dip Brow",110,11,217,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dip+brow"
8,"emazing",119,43,229,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=emazing"
8,"BHCosmetics",32,25,234,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=bhcosmetics&catalog=#Homesearch201403"
8,"BH Eyeshadow",127,25,235,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=bh+eyeshadow&catalog=#Homesearch201403"
8,"Carli Bybel",128,25,238,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=carli+bybel&catalog=#Homesearch201403"
8,"21 Color Eyeshadow",128,25,239,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=21+color+eyeshadow&catalog=#Homesearch201403"
8,"Missy Lynn",129,25,240,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=missy+lynn&catalog=#Homesearch201403"
8,"Live Fit",135,49,257,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=live+fit&catalog=#Homesearch201403"
8,"juvia's place",148,60,284,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Juvia%27s+place&catalog=#hpsearch1507"
8,"The Masquerade",151,60,290,"https://www.dhgate.com/wholesale/the+masquerade/s018.html"
8,"Juvia's",148,60,317,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Juvia%27s&catalog=#Homesearch201403"
8,"Subculture",173,11,329,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=subculture&catalog=#Homesearch201403"
8,"moon child glow",19,11,331,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=moon+child+glow&catalog=#Homesearch201403"
8,"Contour Kit",176,11,334,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=contour+kit&catalog=#Homesearch201403"
8,"Ultimate Glow",177,11,335,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=ultimate+glow&catalog=#Homesearch201403"
8,"That Glow",178,11,336,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=that+glow&catalog=#Homesearch201403"
8,"Sun Dipped",178,11,338,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sun+dipped&catalog=#Homesearch201403"
8,"Sweets Glow Kit",178,11,339,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sweets+glow+kit&catalog=#Homesearch201403"
8,"Glow Kit",178,11,340,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=glow+kit&catalog=#Homesearch201403"
8,"14 Color Makeup Eye Shadow Palette",173,11,341,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=14+color+makeup+eye+shadow+palette&catalog=#Homesearch201403"
8,"Epic2",185,28,354,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=epic2"
8,"LVFT",189,49,363,"https://www.dhgate.com/wholesale/search.do?searchkey=LVFT"
8,"26 Color Eyeshadow",127,25,365,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=26+color+eyeshadow"
8,"Happy Face Sponge",191,26,372,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=happy+face+sponge"
8,"Into The AM",197,43,385,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=into+the+am"
8,"iHeartRaves",196,43,386,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=iHeartRaves"
8,"Dipbro",110,11,389,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dipbro"
8,"Face Concealing Cosmetic",39,9,397,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=face+concealing+cosmetic"
8,"Pro Makeup Full Cover Primer Concealer",39,9,398,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=pro+makeup+full+cover+primer+concealer"
8,"L.A.Girl",11,9,399,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=l.a.girl"
8,"Hud Beauty",171,24,413,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=hud+beauty"
8,"HD Beauty",171,24,414,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=hd+beauty"
8,"Stay All Day Lip",171,24,415,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=stay+all+day+lip"
8,"Beauty Huda",171,24,416,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=beauty+huda"
8,"Sugar Glow Kit",218,11,443,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sugar+glow+kit&catalog=#Homesearch201403"
8,"Matte Lip Gloss",171,24,445,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=matte+lip+gloss"
8,"Desert Dusk",235,24,463,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Desert+Dusk"
8,"Prism Palette",219,11,468,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=prism+palette&catalog=#Homesearch201403"
8,"Gorgeous Mermaid Backless Wedding Dresses Sweetheart Cap Sleeve",241,30,470,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Gorgeous+Mermaid+Backless+Wedding+Dresses+Sweetheart+Cap+Sleeve"
8,"Strobe lip",171,24,549,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=strobe+lip&catalog=#hpsearch1507"
8,"Soft Glam",296,11,612,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=soft+glam&catalog=#Homesearch201403"
8,"microtech knives",325,167,644,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=microtech+knives"
8,"microtech knife",325,167,645,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=microtech+knife"
8,"Catalyst Case",326,168,648,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Catalyst"
8,"Golf Grip",27,20,768,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=golf+grip"
8,"Portable Face Shade",377,194,816,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Portable+Face+Shade"
8,"Beach Face Shade",377,194,817,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Beach+Face+Shade"
8,"Portable Beach Shade",377,194,818,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Portable+Beach+Shade"
8,"Beach Sun Shade",377,194,819,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Beach+Sun+Shade"
8,"Head Shade",377,194,820,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Head+Shade"
8,"Tour Velvet",471,20,920,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=tour+velvet"
8,"2G Golf",476,20,924,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=2g+golf"
8,"CP2 Golf",477,20,925,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=cp2+golf"
8,"Align Golf",475,20,926,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=align+golf"
8,"Gorjana",497,302,948,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=gorjana"
